"Elapsed time","Datetime","Magnetic field"
255.048964,"2021-07-12 19:22:00.531357",-53.138
255.582148,"2021-07-12 19:22:01.064541",-53.141
256.121252,"2021-07-12 19:22:01.603645",-53.138
256.650861,"2021-07-12 19:22:02.133254",-53.14
257.180666,"2021-07-12 19:22:02.663059",-53.142
257.721881,"2021-07-12 19:22:03.204274",-53.145
258.250255,"2021-07-12 19:22:03.732648",-53.146
258.774918,"2021-07-12 19:22:04.257311",-53.149
259.307431,"2021-07-12 19:22:04.789824",-53.152
259.849744,"2021-07-12 19:22:05.332137",-53.152
260.392587,"2021-07-12 19:22:05.874980",-53.153
260.919133,"2021-07-12 19:22:06.401526",-53.154
261.447262,"2021-07-12 19:22:06.929655",-53.154
261.974224,"2021-07-12 19:22:07.456617",-53.155
262.506184,"2021-07-12 19:22:07.988577",-53.155
263.050049,"2021-07-12 19:22:08.532442",-53.158
263.591125,"2021-07-12 19:22:09.073518",-53.158
264.133644,"2021-07-12 19:22:09.616037",-53.16
264.66354,"2021-07-12 19:22:10.145933",-53.16
265.188446,"2021-07-12 19:22:10.670839",-53.163
265.718041,"2021-07-12 19:22:11.200434",-53.164
266.260684,"2021-07-12 19:22:11.743077",-53.165
266.788991,"2021-07-12 19:22:12.271384",-53.164
267.334887,"2021-07-12 19:22:12.817280",-53.165
267.879544,"2021-07-12 19:22:13.361937",-53.165
268.420031,"2021-07-12 19:22:13.902424",-53.165
268.950995,"2021-07-12 19:22:14.433388",-53.165
269.49195,"2021-07-12 19:22:14.974343",-53.166
270.022864,"2021-07-12 19:22:15.505257",-53.166
270.564742,"2021-07-12 19:22:16.047135",-53.166
271.10854,"2021-07-12 19:22:16.590933",-53.168
271.65092,"2021-07-12 19:22:17.133313",-53.163
272.182597,"2021-07-12 19:22:17.664990",-53.166
272.726467,"2021-07-12 19:22:18.208860",-53.166
273.268501,"2021-07-12 19:22:18.750894",-53.165
273.810139,"2021-07-12 19:22:19.292532",-53.163
274.339682,"2021-07-12 19:22:19.822075",-53.163
274.884953,"2021-07-12 19:22:20.367346",-53.161
275.42921,"2021-07-12 19:22:20.911603",-53.16
275.96959,"2021-07-12 19:22:21.451983",-53.157
276.511649,"2021-07-12 19:22:21.994042",-53.155
277.044568,"2021-07-12 19:22:22.526961",-53.152
